valid,count,tpm,num_of_reads
6.515,6,0.137695,14.0
1.415,7,1.303991,15.0
709.585045667,1,48.90537,2235.912214
2.07,4,0.077421,2.0
-0.165,2,0.124594,2.0
233.565,1,50.39229,953.0
-79.0072506239,2,4.140073,443.674389
2.77,5,0.118913,10.0
589.702074182,5,19.391781,790.797299
232.97458921,8,12.593188,627.309983
-21.3668243781,5,11.983756,341.892718
4.24121847958,1,0.177742,14.0
1.0,6,0.0,0.0
2872.25294195,5,141.893209,9304.38663
574.835,3,17.907808,2199.0
367.795,3,9.345312,1672.0
71.0236762882,2,8.21992,349.364845
11.5901742346,2,0.265868,43.506951
32.2711494772,5,3.223817,82.128204
214.047832749,5,6.831583,1310.611611
28.2571672516,6,3.723584,188.388389
3.31979903931,9,3.383846,67.402652
956.411667746,2,6.083217,1350.478123
569.372377491,4,23.927101,4969.734563
2.44,3,0.060303,9.0
1.0,3,0.0,0.0
142.755861672,3,5.503457,304.189708
65.0999737604,10,16.721072,621.575077
15.8991645672,11,5.562214,52.235215
3.19019838289,9,0.419268,55.012897
2.88024091755,1,0.0,0.0
9.27915813344,1,0.087076,5.987103
250.021217997,4,19.242516,1082.339653
62.715,4,2.010485,140.0
-2.09238616332,9,0.694332,22.155499
1.0,7,0.0,0.0
112.412780916,7,1.471009,354.57551
12.69,6,0.639389,38.0
4.6778848218,8,2.057872,35.641187
2.59617078651,3,1.704309,13.236411
34.3642669534,1,1.344035,76.122402
374.51,2,12.769391,956.0
38.01,2,4.869417,125.0
14.8836004859,2,0.122891,13.908512
1364.49,2,134.413956,6320.0
11.185106102,6,1.09203,16.358486
-1.56010610196,12,2.172843,24.641514
573.368007382,7,84.533597,1557.466492
409.813045827,14,35.410797,1156.391038
571.045,2,61.574569,4916.0
606.30228278,3,35.463958,2240.208128
1522.96271722,1,75.54933,5319.791872
24.16,3,4.827852,430.0
491.18,3,63.714927,2619.0
63.3977432858,3,7.466407,211.801114
1302.66583008,1,145.139325,3985.143781
31.605,3,4.361771,108.0
11.5577916073,3,3.27472,32.987734
41.8797563787,3,13.839668,644.430409
55.402452014,3,1.294219,58.581856
12.1276402932,4,3.492898,27.581374
3.56990541539,2,1.469233,13.272532
4.8524543178,2,0.170402,21.146093
140.634780894,2,3.843531,1138.021949
120.655219106,5,1.609737,359.978051
78.856543371,5,3.148242,249.917639
13.983456629,5,1.633584,22.082361
14.5106292383,7,1.812621,18.730534
4.47104830852,6,0.576747,7.571424
44.2133224532,7,18.14242,264.698042
2.8,4,0.0606,12.0
851.87,6,37.342455,3673.0
-0.611106862444,1,0.257277,13.016502
24.4910075261,1,1.801162,100.257002
127.500099336,1,10.076742,440.726496
8.445,6,0.776738,29.0
3.64,5,0.114575,5.0
35.645,3,0.752384,103.0
248.887186016,4,22.718964,777.356125
625.207934772,1,69.260426,1840.943638
113.64933645,28,34.423874,393.745761
0.03,15,0.010446,1.0
384.390133532,21,30.016635,1940.0
13.6856718924,3,4.194496,91.182549
